Serial no.,Date,Open,High,Mean,Low,Close,Adj Close,Total Trade Quantity
699,4/9/2013,41.799999,41.830002,41.080002,40.330002,40.5,40.5,1696100
700,4/10/2013,40.700001,42.009998,41.3099995,40.610001,41.860001,41.86,2121100
701,4/11/2013,42.060001,44.549999,43.1499995,41.75,43.59,43.59,3447400
702,4/12/2013,43.25,45.139999,44.094999,43.049999,43.75,43.75,3149400
703,4/15/2013,43.5,43.799999,43.1549985,42.509998,43.299999,43.3,1681400
704,4/16/2013,44.189999,46.139999,45.0249995,43.91,45.59,45.59,3180400
705,4/17/2013,45.5,45.950001,45.245001,44.540001,45.450001,45.45,2118500
706,4/18/2013,45.98,47.599998,46.4949985,45.389999,46.970001,46.97,3367900
707,4/19/2013,47.459999,49.880001,48.4750005,47.07,47.830002,47.83,3011700
708,4/22/2013,48.599998,50.200001,48.9750005,47.75,50.189999,50.19,3939400
709,4/23/2013,51,52.919998,51.789999,50.66,51.009998,51.01,3733800
710,4/24/2013,50.900002,51.049999,50.0149995,48.98,50.43,50.43,2630000
711,4/25/2013,50.5,52.400002,51.450001,50.5,52,52,2795900
712,4/26/2013,53.130001,53.740002,52.1800005,50.619999,51.200001,51.2,3622100
713,4/29/2013,51.759998,54.990002,53.0950015,51.200001,54.939999,54.94,3639700
714,4/30/2013,56,58.18,55.969999,53.759998,53.990002,53.99,5522600
715,5/1/2013,55.990002,55.990002,54.495001,53,53.279999,53.28,2742800
716,5/2/2013,53.849998,55.27,54.4850005,53.700001,54.110001,54.11,3050400
717,5/3/2013,56.470001,56.470001,55.4850005,54.5,54.549999,54.55,3378700
718,5/6/2013,56.389999,59.66,57.58,55.5,59.5,59.5,4366700
719,5/7/2013,62,62.369999,58.744999,55.119999,55.509998,55.51,9991000
720,5/8/2013,57.5,58.200001,56.955,55.709999,55.790001,55.79,6769900
721,5/9/2013,70.120003,75.769997,69.729998,63.689999,69.400002,69.4,28605000
722,5/10/2013,69.650002,81,75.125,69.25,76.760002,76.76,25082600
723,5/13/2013,80.989998,88,83.575001,79.150002,87.800003,87.8,22416900
724,5/14/2013,94.220001,97.120003,89.1350025,81.150002,83.239998,83.24,37163900
725,5/15/2013,81.800003,86.879997,82.494999,78.110001,84.839996,84.84,16878700
726,5/16/2013,94.699997,95,91.830002,88.660004,92.25,92.25,21614000
727,5/17/2013,92.5,94.440002,90.970001,87.5,91.5,91.5,19002200
728,5/20/2013,91.120003,92.5,90.5649985,88.629997,89.940002,89.94,8348400
729,5/21/2013,88.5,89.989998,87.6349985,85.279999,87.589996,87.59,8998200
730,5/22/2013,86.370003,90.959999,88.2299995,85.5,87.239998,87.24,8568000
731,5/23/2013,84.809998,93.010002,88.0300025,83.050003,92.730003,92.73,12022200
732,5/24/2013,92.599998,97.949997,94.9749985,92,97.080002,97.08,16124200
733,5/28/2013,101.550003,110.75,105.5250015,100.300003,110.330002,110.33,19691900
734,5/29/2013,113.550003,114.900002,106.950001,99,104.629997,104.63,25099500
735,5/30/2013,102.459999,109.540001,105.369999,101.199997,104.949997,104.95,16133700
736,5/31/2013,106.260002,106.440002,102.0850025,97.730003,97.760002,97.76,15172000
737,6/3/2013,97.620003,97.620003,92.9350015,88.25,92.589996,92.59,19139600
738,6/4/2013,92.75,96.419998,94.41,92.400002,94.839996,94.84,8856100
739,6/5/2013,93.660004,97.970001,93.540001,89.110001,95.370003,95.37,12224800
740,6/6/2013,95.25,99.269997,97.189999,95.110001,97.349998,97.35,9510900
741,6/7/2013,98,102.900002,99.7999995,96.699997,102.040001,102.04,10711600
742,6/10/2013,98.93,102.519997,100.5449985,98.57,100.050003,100.05,9228600
743,6/11/2013,98.18,98.68,96.3650015,94.050003,94.470001,94.47,7394000
744,6/12/2013,96.800003,100.480003,98.1150015,95.75,97.730003,97.73,9192700
745,6/13/2013,99,99.279999,97.200001,95.120003,98.18,98.18,5961600
746,6/14/2013,100,102.519997,100.9249995,99.330002,100.300003,100.3,6564700
747,6/17/2013,103.599998,104.75,102.9749985,101.199997,102.199997,102.2,7066200
748,6/18/2013,101.75,103.980003,101.59,99.199997,103.389999,103.39,8795300
749,6/19/2013,102.059998,106.669998,104.34,102.010002,104.68,104.68,8578900
750,6/20/2013,104.650002,107.129997,103.289997,99.449997,100.650002,100.65,10106500
751,6/21/2013,103.699997,103.699997,100.5999985,97.5,99.550003,99.55,11718600
752,6/24/2013,96.5,102.870003,99.085003,95.300003,101.489998,101.49,7119800
753,6/25/2013,103.099998,104.199997,102.375,100.550003,102.400002,102.4,5848700
754,6/26/2013,103.800003,105.870003,104.2650035,102.660004,105.720001,105.72,6602600
755,6/27/2013,106.75,110.25,108.1899985,106.129997,109.25,109.25,8744900
756,6/28/2013,108.57,109.440002,108.0750005,106.709999,107.360001,107.36,5748600
757,7/1/2013,109.360001,117.769997,113.4599995,109.150002,117.18,117.18,10903600
758,7/2/2013,118.25,121.889999,118.6949995,115.5,117.82,117.82,12064100
759,7/3/2013,118,119.25,116.7599985,114.269997,115.239998,115.24,4806700
760,7/5/2013,118.32,120.279999,117.989998,115.699997,120.089996,120.09,6818700
761,7/8/2013,121.370003,122.18,120.5,118.82,121.610001,121.61,7814200
762,7/9/2013,124.639999,125.32,123.615002,121.910004,123.449997,123.45,8603300
763,7/10/2013,123.190002,123.25,122.0200005,120.790001,122.269997,122.27,5600100
764,7/11/2013,124.879997,126.089996,124.219997,122.349998,125.610001,125.61,7483600
765,7/12/2013,125.5,129.940002,127.225002,124.510002,129.899994,129.9,11344000
766,7/15/2013,133.029999,133.259995,130.0399975,126.82,127.260002,127.26,9922400
767,7/16/2013,126.279999,126.32,116.8100015,107.300003,109.050003,109.05,32371900
768,7/17/2013,106.519997,121.620003,113.0600015,104.5,120.25,120.25,26029000
769,7/18/2013,120.970001,122.730003,119.4550015,116.18,119.029999,119.03,11398100
770,7/19/2013,118.5,120.550003,118.5300025,116.510002,119.68,119.68,5890300
771,7/22/2013,119.889999,126.68,123.2799985,119.879997,122.43,122.43,9797800
772,7/23/2013,124,125.559998,123.689999,121.82,122.739998,122.74,7736400
773,7/24/2013,124.470001,124.5,122.029999,119.559998,121.699997,121.7,6869000
774,7/25/2013,120.400002,124.75,122.470001,120.190002,124.07,124.07,5284300
775,7/26/2013,128.139999,130.679993,128.644997,126.610001,129.389999,129.39,9633100
776,7/29/2013,129.320007,135.369995,131.8099975,128.25,134.619995,134.62,9678900
777,7/30/2013,134.800003,137.490005,132.834999,128.179993,131.740005,131.74,13127000
778,7/31/2013,132.570007,134.970001,133.209999,131.449997,134.279999,134.28,6351700
779,8/1/2013,135,136.520004,134.5750045,132.630005,135.550003,135.55,5323600
780,8/2/2013,134.589996,138.25,135.9300005,133.610001,138,138,6269900
781,8/5/2013,140.009995,144.889999,142.2699965,139.649994,144.679993,144.68,10200700
782,8/6/2013,144.75,145.729996,143.415001,141.100006,142.149994,142.15,9254500
783,8/7/2013,141.889999,141.949997,137.154999,132.360001,134.229996,134.23,18212200
784,8/8/2013,154.350006,158.880005,154.670006,150.460007,153.479996,153.48,27246800
785,8/9/2013,152.399994,155.949997,153.5999985,151.25,153,153,8927700
786,8/12/2013,149.429993,150.5,146.2750015,142.050003,147.380005,147.38,14912200
787,8/13/2013,149.5,149.839996,147.1449965,144.449997,145.429993,145.43,8748900
788,8/14/2013,142.720001,144.839996,141.4449995,138.050003,139.360001,139.36,11693800
789,8/15/2013,136.429993,143.600006,139.300003,135,139.669998,139.67,10179200
790,8/16/2013,141.630005,143.910004,142.4400025,140.970001,142,142,7108100
791,8/19/2013,143.429993,147.380005,145.1050035,142.830002,144.899994,144.9,8037700
792,8/20/2013,148.649994,149.779999,148.3899995,147,149.580002,149.58,6418200
793,8/21/2013,150,150.309998,148.279999,146.25,147.860001,147.86,6266300
794,8/22/2013,149.220001,157.479996,152.8099975,148.139999,157.100006,157.1,10592400
795,8/23/2013,157,162.300003,158.6500015,155,161.839996,161.84,12931900
796,8/26/2013,165.149994,173,166.625,160.25,164.220001,164.22,24171100
797,8/27/2013,162.300003,168.800003,164.875,160.949997,167.009995,167.01,17566900
798,8/28/2013,169.059998,171.5,167.375,163.25,166.449997,166.45,14740100
799,8/29/2013,164.220001,167.75,165.1299975,162.509995,166.059998,166.06,9436000
800,8/30/2013,166.369995,169.210007,166.585007,163.960007,169,169,11028400
801,9/3/2013,173.399994,173.699997,170.0499955,166.399994,168.940002,168.94,12061100
802,9/4/2013,169.770004,171.619995,168.5899965,165.559998,170.619995,170.62,11475700
803,9/5/2013,170.100006,171.5,169.875,168.25,169.929993,169.93,6685300
804,9/6/2013,168.570007,169.699997,167.4249955,165.149994,166.970001,166.97,8619700
805,9/9/2013,163.119995,164.5,161.5049975,158.509995,160.699997,160.7,14344500
806,9/10/2013,161.449997,167.5,164.0650025,160.630005,166.369995,166.37,8967800
807,9/11/2013,166.410004,167.899994,165.0149995,162.130005,163.520004,163.52,5832500
808,9/12/2013,164,166.759995,163.634995,160.509995,164.929993,164.93,6160000
809,9/13/2013,162.770004,166.369995,164.2649995,162.160004,165.539993,165.54,5401200
810,9/16/2013,168,170.850006,168.350006,165.850006,166.580002,166.58,7574900
811,9/17/2013,165.080002,168.419998,165.8899995,163.360001,166.229996,166.23,5496900
812,9/18/2013,167.070007,167.449997,165.824997,164.199997,166.220001,166.22,5439700
813,9/19/2013,170.800003,180.470001,174.7750015,169.080002,177.919998,177.92,15594600
814,9/20/2013,178.899994,185.830002,182.195,178.559998,183.389999,183.39,13401700
815,9/23/2013,184.479996,185.479996,181.2949985,177.110001,181.110001,181.11,8173400
816,9/24/2013,179.139999,184.960007,181.3050005,177.649994,182.330002,182.33,6273400
817,9/25/2013,183.559998,186.300003,183.4000015,180.5,185.240005,185.24,8252700
818,9/26/2013,186.699997,189.679993,187.644997,185.610001,188.639999,188.64,6614400
819,9/27/2013,187.520004,191.279999,188.854996,186.429993,190.899994,190.9,5916400
820,9/30/2013,189,194.5,191.25,188,193.369995,193.37,8924700
821,10/1/2013,193.960007,194.229996,191.2999955,188.369995,193,193,7755900
822,10/2/2013,188.589996,191.830002,183.614998,175.399994,180.949997,180.95,20775400
823,10/3/2013,175.050003,179.690002,173.845001,168,173.309998,173.31,23816500
824,10/4/2013,176.399994,181.179993,176.9149935,172.649994,180.979996,180.98,14414000
825,10/7/2013,182.460007,186.729996,183.4949955,180.259995,183.070007,183.07,11485600
826,10/8/2013,184.399994,185.929993,179.57,173.210007,174.729996,174.73,13757200
827,10/9/2013,174.729996,174.990005,168.2450025,161.5,168.779999,168.78,15316500
828,10/10/2013,173.089996,175.75,172.720001,169.690002,172.929993,172.93,8883900
829,10/11/2013,172.75,179.289993,175.244995,171.199997,178.699997,178.7,8311100
830,10/14/2013,175,182.5,178.324997,174.149994,179.720001,179.72,7769600
831,10/15/2013,185.279999,188.789993,185.984993,183.179993,183.940002,183.94,10978500
832,10/16/2013,184.899994,187.300003,184.6949995,182.089996,183.559998,183.56,8205400
833,10/17/2013,183.539993,184.800003,182.895004,180.990005,182.800003,182.8,6705000
834,10/18/2013,184.149994,185.960007,184.2400055,182.520004,183.399994,183.4,5930800
835,10/21/2013,183.279999,183.389999,177.1949995,171,172.600006,172.6,11532100
836,10/22/2013,170.5,177.779999,171.945,166.110001,171.539993,171.54,11386700
837,10/23/2013,168.910004,171.809998,165.979996,160.149994,164.5,164.5,13320400
838,10/24/2013,165,174.5,168.665001,162.830002,173.149994,173.15,10825700
839,10/25/2013,174.210007,174.5,170.6500015,166.800003,169.660004,169.66,7595500
840,10/28/2013,170.179993,170.5,166.3499985,162.199997,162.860001,162.86,7841700
841,10/29/2013,162.759995,165.449997,159.2249985,153,164.470001,164.47,14111700
842,10/30/2013,164.630005,167.679993,162.9249955,158.169998,159.220001,159.22,8401800
843,10/31/2013,155.669998,162.440002,157.8700025,153.300003,159.940002,159.94,9333800
844,11/1/2013,163,165.899994,163.154999,160.410004,162.169998,162.17,7180600
845,11/4/2013,165,175.389999,169.805,164.220001,175.199997,175.2,13120400
846,11/5/2013,180,181.429993,176.394997,171.360001,176.809998,176.81,22467100
847,11/6/2013,154.809998,160.729996,153.540001,146.350006,151.160004,151.16,31071700
848,11/7/2013,144.190002,145.649994,141.6349945,137.619995,139.770004,139.77,22284700
849,11/8/2013,136.479996,140.600006,136.4600065,132.320007,137.949997,137.95,22477900
850,11/11/2013,141,145.419998,141.260002,137.100006,144.699997,144.7,13997600
851,11/12/2013,144.690002,144.699997,140.439995,136.179993,137.800003,137.8,14985200
852,11/13/2013,140.839996,142.369995,139.3549955,136.339996,138.699997,138.7,12658300
853,11/14/2013,138.919998,140.399994,137.2549975,134.110001,137.600006,137.6,12203700
854,11/15/2013,136.850006,137.949997,136.1500015,134.350006,135.449997,135.45,9900200
855,11/18/2013,135.270004,135.449997,127.529999,119.610001,121.580002,121.58,23138200
856,11/19/2013,119.43,129,124.1100005,119.220001,126.089996,126.09,19816200
857,11/20/2013,126.080002,127.449997,123.2549975,119.059998,121.110001,121.11,13849600
858,11/21/2013,122.889999,124.790001,122.5200005,120.25,122.099998,122.1,11903800
859,11/22/2013,121.580002,122.75,120.34,117.93,121.379997,121.38,11096700
860,11/25/2013,124.5,125.839996,123.0699995,120.300003,120.839996,120.84,10267300
861,11/26/2013,119.379997,122.720001,119.4099995,116.099998,120.5,120.5,13885500
862,11/27/2013,121.309998,126.949997,123.234997,119.519997,126.940002,126.94,12367600
863,11/29/2013,129.770004,130.589996,128.7849995,126.980003,127.279999,127.28,9716200
864,12/2/2013,126.349998,128.550003,126.2400015,123.93,124.169998,124.17,7751200
865,12/3/2013,132.679993,144.940002,138.264999,131.589996,144.699997,144.7,25682400
866,12/4/2013,144.320007,144.429993,140.779999,137.130005,138.949997,138.95,13147700
867,12/5/2013,140.149994,143.350006,141.425003,139.5,140.479996,140.48,9288400
868,12/6/2013,141.509995,142.490005,139.395004,136.300003,137.360001,137.36,7909600
869,12/9/2013,137,141.699997,137.955002,134.210007,141.600006,141.6,9061500
870,12/10/2013,140.050003,145.869995,142.864998,139.860001,142.190002,142.19,10748200
871,12/11/2013,141.880005,143.050003,141.270004,139.490005,139.649994,139.65,7137800
872,12/12/2013,139.699997,148.240005,143.385002,138.529999,147.470001,147.47,10767800
873,12/13/2013,148.050003,151.800003,149.560005,147.320007,147.649994,147.65,10591900
874,12/16/2013,148.479996,150.429993,148.2649995,146.100006,147.940002,147.94,6675300
875,12/17/2013,147.580002,154.630005,150.475006,146.320007,152.460007,152.46,10495000
876,12/18/2013,152.240005,154.899994,150.4249955,145.949997,147.979996,147.98,11581900
877,12/19/2013,146.899994,147,143.050003,139.100006,140.720001,140.72,12740000
878,12/20/2013,141.580002,144.350006,142.965004,141.580002,143.240005,143.24,7412600
879,12/23/2013,144.850006,146.240005,144.4200055,142.600006,143.550003,143.55,5385500
880,12/24/2013,150,154.970001,152.395004,149.820007,151.410004,151.41,9941500
881,12/26/2013,155.039993,158,156.1449965,154.289993,155.5,155.5,7129500
882,12/27/2013,155.300003,155.5,153.1500015,150.800003,151.119995,151.12,5460200
883,12/30/2013,151.119995,154.809998,152.779999,150.75,152.440002,152.44,4467500
884,12/31/2013,152.320007,153.199997,150.9300005,148.660004,150.429993,150.43,4262400
885,1/2/2014,149.800003,152.479996,149.5149995,146.550003,150.100006,150.1,6188400
886,1/3/2014,150,152.190002,150.395004,148.600006,149.559998,149.56,4695000
887,1/6/2014,150,150.399994,147.8199995,145.240005,147,147,5361100
888,1/7/2014,147.619995,150.399994,147.824997,145.25,149.360001,149.36,5034100
889,1/8/2014,148.850006,153.699997,151.229996,148.759995,151.279999,151.28,6163200
890,1/9/2014,152.5,153.429993,150.1399995,146.850006,147.529999,147.53,5382000
891,1/10/2014,148.460007,148.899994,145.574997,142.25,145.720001,145.72,7446100
892,1/13/2014,145.779999,147,142.4100035,137.820007,139.339996,139.34,6316100
893,1/14/2014,140.5,162,149.334999,136.669998,161.270004,161.27,27607000
894,1/15/2014,168.449997,172.229996,167.165001,162.100006,164.130005,164.13,20465600
895,1/16/2014,162.5,172.699997,167.5499955,162.399994,170.970001,170.97,11959400
896,1/17/2014,170.190002,173.199997,170.574997,167.949997,170.009995,170.01,9206200
897,1/21/2014,171.240005,177.289993,174.0499955,170.809998,176.679993,176.68,9734700
898,1/22/2014,177.809998,180.320007,177.540001,174.759995,178.559998,178.56,7022600
899,1/23/2014,177.229996,182.380005,177.9000015,173.419998,181.5,181.5,7867400
900,1/24/2014,177.850006,180.479996,177.0049975,173.529999,174.600006,174.6,7664300
901,1/27/2014,175.160004,177.919998,171.3150025,164.710007,169.619995,169.62,8716400
902,1/28/2014,171.5,178.979996,174.989998,171,178.380005,178.38,6093400
903,1/29/2014,175.300003,179.089996,176.1100005,173.130005,175.229996,175.23,5935500
904,1/30/2014,178,184.779999,180.894997,177.009995,182.839996,182.84,8565000
905,1/31/2014,178.850006,186,182.2549975,178.509995,181.410004,181.41,6508800
906,2/3/2014,182.889999,184.880005,180.0200045,175.160004,177.110001,177.11,6764900
907,2/4/2014,180.699997,181.600006,178.9000015,176.199997,178.729996,178.73,4686300
908,2/5/2014,178.300003,180.589996,174.9749985,169.360001,174.419998,174.42,7268000
909,2/6/2014,176.300003,180.110001,178.0550005,176,178.380005,178.38,5841600
910,2/7/2014,181.009995,186.630005,183.1150055,179.600006,186.529999,186.53,8928500
911,2/10/2014,189.339996,199.300003,194.310005,189.320007,196.559998,196.56,12970700
912,2/11/2014,198.970001,202.199997,197.449997,192.699997,196.619995,196.62,10709900
913,2/12/2014,195.779999,198.270004,196.2950055,194.320007,195.320007,195.32,5173700
914,2/13/2014,193.339996,202.720001,197.9850005,193.25,199.630005,199.63,8029300
915,2/14/2014,198.100006,201.880005,199.4400025,197,198.229996,198.23,6158000
916,2/18/2014,205.240005,206,203.6800005,201.360001,203.699997,203.7,9332800
917,2/19/2014,203.699997,203.699997,198.5550005,193.410004,193.639999,193.64,16169000
918,2/20/2014,215.009995,215.210007,210.7400055,206.270004,209.970001,209.97,18002300
919,2/21/2014,211.639999,213.979996,211.584999,209.190002,209.600006,209.6,7818800
920,2/24/2014,208.759995,218.360001,213.340004,208.320007,217.649994,217.65,8278400
921,2/25/2014,230,259.200012,243.8250045,228.449997,248,248,32681700
922,2/26/2014,258.579987,265,256.25,247.5,253,253,24604600
923,2/27/2014,261.25,261.899994,255.114998,248.330002,252.539993,252.54,17945800
924,2/28/2014,249.649994,252.679993,247.614998,242.550003,244.809998,244.81,14589800
925,3/3/2014,237.259995,251.649994,243.3199995,234.990005,250.559998,250.56,13089300
926,3/4/2014,258.480011,260,256.415001,252.830002,254.839996,254.84,8745600
927,3/5/2014,256.720001,256.98999,254.3949965,251.800003,252.660004,252.66,5935700
928,3/6/2014,254.139999,257.5,253.4749985,249.449997,252.940002,252.94,7361100
929,3/7/2014,252.940002,254.850006,249.630005,244.410004,246.210007,246.21,7812300
930,3/10/2014,242.699997,243,239.529999,236.059998,238.839996,238.84,7728100
931,3/11/2014,236.5,244.600006,238.5149995,232.429993,234.410004,234.41,8810100
932,3/12/2014,231.5,247.5,239.3050005,231.110001,241.490005,241.49,9754400
933,3/13/2014,243.789993,244.190002,239.095001,234,237.789993,237.79,6236300
934,3/14/2014,235.289993,236.940002,232.6300045,228.320007,230.970001,230.97,8289700
935,3/17/2014,234.949997,237.929993,234.2149965,230.5,233.979996,233.98,5912600
936,3/18/2014,236.949997,241.5,238.260002,235.020004,240.039993,240.04,6242300
937,3/19/2014,241.389999,241.550003,237.529999,233.509995,235.839996,235.84,5071300
938,3/20/2014,236.160004,239.25,236.3050005,233.360001,234.910004,234.91,3817900
939,3/21/2014,236.020004,236.199997,231.8499985,227.5,228.889999,228.89,8216900
940,3/24/2014,229.75,229.899994,220.084999,210.270004,220.169998,220.17,11328800
941,3/25/2014,224.139999,227.050003,222.4749985,217.899994,220.440002,220.44,7865400
942,3/26/2014,221.949997,222.600006,216.975006,211.350006,212.960007,212.96,6907300
943,3/27/2014,212.369995,213.600006,208.300003,203,207.320007,207.32,9495700
944,3/28/2014,212.800003,216.720001,213.4950025,210.270004,212.369995,212.37,9684800
945,3/31/2014,216.5,216.75,211.5699995,206.389999,208.449997,208.45,8380000
946,4/1/2014,209.020004,218.160004,213.370003,208.580002,216.970001,216.97,7371400
947,4/2/2014,220,230.889999,224.470001,218.050003,230.289993,230.29,10782300
948,4/3/2014,230.300003,235.729996,228.864998,222,225.399994,225.4,10923700
949,4/4/2014,226.009995,228.270004,219.760002,211.25,212.229996,212.23,11345600
950,4/7/2014,205.809998,216.199997,209.854996,203.509995,207.520004,207.52,9855500
951,4/8/2014,210.050003,216.490005,211.4550015,206.419998,215.460007,215.46,6889300
952,4/9/2014,216.759995,218.449997,214.669998,210.889999,216.929993,216.93,5157900
953,4/10/2014,216.820007,217.5,210.6449965,203.789993,204.190002,204.19,7211500
954,4/11/2014,200.610001,207,202.800003,198.600006,203.779999,203.78,9067200
955,4/14/2014,207.600006,208.440002,201.425003,194.410004,198.089996,198.09,7703000
956,4/15/2014,199.089996,199.289993,191.805,184.320007,193.910004,193.91,13659300
957,4/16/2014,197,199.990005,195.405006,190.820007,199.110001,199.11,7202200
958,4/17/2014,199.610001,202.289993,198.1849975,194.080002,198.119995,198.12,5926800
959,4/21/2014,197.080002,206.199997,200.0999985,194,204.380005,204.38,5258200
960,4/22/2014,206.360001,219.330002,212.1699985,205.009995,218.639999,218.64,9804700
961,4/23/2014,216.330002,216.740005,211.8700025,207,207.990005,207.99,7295600
962,4/24/2014,210.809998,212.800003,208,203.199997,207.860001,207.86,5495200
963,4/25/2014,202,206.699997,202.1749955,197.649994,199.850006,199.85,6996700
964,4/28/2014,200,203.789993,197.1449965,190.5,198.509995,198.51,7042000
965,4/29/2014,198.210007,207.149994,201.3399965,195.529999,206.919998,206.92,5779100
966,4/30/2014,203.600006,208.160004,204.7200015,201.279999,207.889999,207.89,4440600
967,5/1/2014,207.080002,214.020004,209.855003,205.690002,207.729996,207.73,5439900
968,5/2/2014,208.600006,211.360001,208.9400025,206.520004,210.910004,210.91,4086800
969,5/5/2014,209.479996,217.690002,213.105003,208.520004,216.610001,216.61,5147000
970,5/6/2014,216.600006,218.660004,212.755005,206.850006,207.279999,207.28,5636700
971,5/7/2014,209.639999,210.199997,203.7249985,197.25,201.350006,201.35,10179300
972,5/8/2014,182,194.399994,186.199997,178,178.589996,178.59,20056600
973,5/9/2014,179.860001,183.399994,180.3099975,177.220001,182.259995,182.26,8495200
974,5/12/2014,183.869995,187.190002,183.5350035,179.880005,184.669998,184.67,7002300
975,5/13/2014,183.759995,191.339996,187.169998,183,190.160004,190.16,7097200
976,5/14/2014,188.949997,193.479996,190.290001,187.100006,190.619995,190.62,5406700
977,5/15/2014,189.979996,192.660004,188.9800035,185.300003,188.589996,188.59,6040400
978,5/16/2014,188.949997,192.039993,189.879997,187.720001,191.559998,191.56,4487700
979,5/19/2014,190.720001,196.889999,193.4449995,190,196.089996,196.09,4571700
980,5/20/2014,196.940002,199.330002,196.2000045,193.070007,195.300003,195.3,5546100
981,5/21/2014,196.179993,199.869995,197.329994,194.789993,199.449997,199.45,5285400
982,5/22/2014,200.350006,206.880005,203.2200015,199.559998,204.880005,204.88,6214500
983,5/23/2014,204.529999,207.759995,205.1299975,202.5,207.300003,207.3,4006800
984,5/27/2014,208.520004,213.869995,210.784996,207.699997,211.559998,211.56,5341100
985,5/28/2014,210.020004,212.770004,209.0149995,205.259995,210.240005,210.24,5495100
986,5/29/2014,210.570007,212.490005,210.105003,207.720001,210.240005,210.24,3692500
987,5/30/2014,210.300003,214.800003,210.9100035,207.020004,207.770004,207.77,5581100
988,6/2/2014,207.330002,209.350006,205.510002,201.669998,204.699997,204.7,4668100
989,6/3/2014,203.490005,208,205.294998,202.589996,204.940002,204.94,3860800
990,6/4/2014,204.350006,206.259995,203.3299945,200.399994,203.990005,203.99,3427400
991,6/5/2014,204.470001,209.199997,206.625,204.050003,206.899994,206.9,4054600
992,6/6/2014,209.75,210.809998,208.9949955,207.179993,208.169998,208.17,3073800
993,6/9/2014,207.949997,209.990005,207.095001,204.199997,205.309998,205.31,2805700
994,6/10/2014,204.429993,206.970001,204.260002,201.550003,202.300003,202.3,3514700
995,6/11/2014,201.5,205,202.125,199.25,204.470001,204.47,3977500
996,6/12/2014,205.100006,209.880005,206.295006,202.710007,203.520004,203.52,5993700
997,6/13/2014,204.779999,206.789993,204.1849975,201.580002,206.419998,206.42,3544300
998,6/16/2014,206.759995,225.490005,215.875,206.259995,224.610001,224.61,13246400
999,6/17/2014,224.110001,235.539993,229.1949995,222.850006,231.669998,231.67,13304900
1000,6/18/2014,231.5,231.710007,228.915001,226.119995,227.119995,227.12,6940200
1001,6/19/2014,228.880005,235.309998,231.154999,227,227.789993,227.79,8793100
1002,6/20/2014,228.520004,231.289993,228.744995,226.199997,229.589996,229.59,4903900
1003,6/23/2014,229.509995,238.990005,233.605003,228.220001,237.220001,237.22,7791100
1004,6/24/2014,238.970001,241.880005,236.755005,231.630005,232.5,232.5,8075900
1005,6/25/2014,233.050003,237.550003,233.895004,230.240005,236.889999,236.89,5801600
1006,6/26/2014,237.169998,240.399994,237.3050005,234.210007,235.600006,235.6,5121400
1007,6/27/2014,234.690002,240,237.25,234.5,239.059998,239.06,5635000
1008,6/30/2014,239.550003,244.490005,241.7450025,239,240.059998,240.06,4828600
1009,7/1/2014,242.460007,243.440002,241.0699995,238.699997,239.720001,239.72,4336100
1010,7/2/2014,240.660004,242.330002,234.7000045,227.070007,229.429993,229.43,8027400
1011,7/3/2014,231.289993,231.899994,227.949997,224,229.25,229.25,5166700
1012,7/7/2014,227.5,229.779999,225.0899965,220.399994,222.660004,222.66,5893700
1013,7/8/2014,218.649994,220.960007,217.6150055,214.270004,219.070007,219.07,7836200
1014,7/9/2014,221.270004,224.220001,221.715004,219.210007,223.059998,223.06,4115400
1015,7/10/2014,217.179993,222.220001,219.129997,216.039993,219.460007,219.46,4863900
1016,7/11/2014,220.610001,221.600006,219.600006,217.600006,218.130005,218.13,3302300
1017,7/14/2014,219.990005,228.789993,222.119995,215.449997,226.699997,226.7,7203200
1018,7/15/2014,226.729996,227.649994,222.875,218.100006,219.580002,219.58,5718500
1019,7/16/2014,221.820007,224.800003,220.810005,216.820007,217.160004,217.16,4044500
1020,7/17/2014,216.160004,220.550003,217.0750045,213.600006,215.399994,215.4,4649400
1021,7/18/2014,215.949997,221.210007,218.57,215.929993,220.020004,220.02,4253700
1022,7/21/2014,217.25,223.210007,219.965004,216.720001,220.539993,220.54,3822200
1023,7/22/2014,222.190002,223.300003,221.205002,219.110001,219.580002,219.58,2730000
1024,7/23/2014,220.009995,224.75,222.0899965,219.429993,222.490005,222.49,3083300
1025,7/24/2014,223.25,225.100006,222.9500045,220.800003,223.539993,223.54,3245500
1026,7/25/2014,222.720001,226.970001,224.3600005,221.75,223.570007,223.57,3087100
1027,7/28/2014,224.25,232,226.699997,221.399994,224.820007,224.82,6514300
1028,7/29/2014,226.610001,228.300003,226.580002,224.860001,225.009995,225.01,3382400
1029,7/30/2014,221.919998,229.600006,225.3199995,221.039993,228.919998,228.92,4927800
1030,7/31/2014,229.259995,231.399994,226.449997,221.5,223.300003,223.3,7749100
1031,8/1/2014,226.089996,237.5,231.75,226,233.270004,233.27,11895800
1032,8/4/2014,234.380005,240.5,236.885002,233.270004,238.520004,238.52,5959700
1033,8/5/2014,237.470001,242.990005,239.3400035,235.690002,238.490005,238.49,5388600
1034,8/6/2014,238.899994,251.419998,245,238.580002,248.929993,248.93,9249300
1035,8/7/2014,250.119995,256.690002,252.9049985,249.119995,252.389999,252.39,7478900
1036,8/8/2014,251.160004,251.759995,249.1299975,246.5,248.130005,248.13,5090100
